values,id,target,time
-0.1646566,129,3,1
-0.09683995,129,3,2
-0.03273374,129,3,3
-0.03365122,129,3,4
-0.1200965,129,3,5
-0.187973,129,3,6
-0.2140905,129,3,7
-0.2098015,129,3,8
-0.2253811,129,3,9
-0.3011396,129,3,10
-0.3096326,129,3,11
-0.2175324,129,3,12
-0.08092671,129,3,13
-0.02211124,129,3,14
-0.1171167,129,3,15
-0.1742363,129,3,16
-0.13169,129,3,17
-0.1066007,129,3,18
-0.05626703,129,3,19
0.1241982,129,3,20
0.3919258,129,3,21
0.5477146,129,3,22
0.5535772,129,3,23
0.6095666,129,3,24
0.6851403,129,3,25
0.5883448,129,3,26
0.408926,129,3,27
0.2068596,129,3,28
-0.03938727,129,3,29
-0.144296,129,3,30
-0.1815792,129,3,31
-0.3245247,129,3,32
-0.420366,129,3,33
-0.4301101,129,3,34
-0.3660233,129,3,35
-0.2192049,129,3,36
-0.1373148,129,3,37
-0.130541,129,3,38
-0.1813036,129,3,39
-0.3225497,129,3,40
-0.4217429,129,3,41
-0.3586421,129,3,42
-0.1910829,129,3,43
-0.06221567,129,3,44
-0.006735409,129,3,45
-0.01140047,129,3,46
-0.09241172,129,3,47
-0.1564574,129,3,48
-0.1058786,129,3,49
0.0240244,129,3,50
0.1174547,129,3,51
0.1424451,129,3,52
0.1231728,129,3,53
0.102668,129,3,54
0.1959335,129,3,55
0.3934048,129,3,56
0.6766939,129,3,57
0.8577236,129,3,58
0.5968757,129,3,59
0.1526467,129,3,60
-0.03663571,129,3,61
0.04385254,129,3,62
0.1205146,129,3,63
-0.02733532,129,3,64
-0.1959524,129,3,65
-0.2798657,129,3,66
-0.2546613,129,3,67
-0.06502704,129,3,68
-0.02763865,129,3,69
-0.1343451,129,3,70
-0.2145618,129,3,71
-0.2780563,129,3,72
-0.2015391,129,3,73
-0.1483784,129,3,74
-0.1776719,129,3,75
-0.2654331,129,3,76
-0.4512363,129,3,77
-0.4168632,129,3,78
-0.2402392,129,3,79
