image_path,superclass,class
train/vehicles_2/tank/tank_s_001785.png,vehicles_2,tank
train/vehicles_2/tank/army_tank_s_001644.png,vehicles_2,tank
train/vehicles_2/tank/army_tank_s_001286.png,vehicles_2,tank
train/vehicles_2/tank/armoured_combat_vehicle_s_000620.png,vehicles_2,tank
train/vehicles_2/tank/army_tank_s_000772.png,vehicles_2,tank
train/vehicles_2/tank/armored_combat_vehicle_s_000279.png,vehicles_2,tank
train/vehicles_2/tank/tank_s_001041.png,vehicles_2,tank
train/vehicles_2/tank/armoured_combat_vehicle_s_000047.png,vehicles_2,tank
train/vehicles_2/tank/tank_s_000219.png,vehicles_2,tank
train/vehicles_2/tank/tank_s_000123.png,vehicles_2,tank
train/vehicles_2/tank/armoured_combat_vehicle_s_000763.png,vehicles_2,tank
train/vehicles_2/tank/armored_combat_vehicle_s_000207.png,vehicles_2,tank
train/vehicles_2/tank/army_tank_s_000508.png,vehicles_2,tank
train/vehicles_2/tank/tank_s_001645.png,vehicles_2,tank
train/vehicles_2/tank/armoured_combat_vehicle_s_000520.png,vehicles_2,tank
train/vehicles_2/tank/army_tank_s_001099.png,vehicles_2,tank
train/vehicles_2/tank/armoured_combat_vehicle_s_000677.png,vehicles_2,tank
train/vehicles_2/tank/army_tank_s_000834.png,vehicles_2,tank
train/vehicles_2/tank/army_tank_s_000084.png,vehicles_2,tank
train/vehicles_2/tank/panzer_s_000057.png,vehicles_2,tank
train/vehicles_2/tank/armoured_combat_vehicle_s_000551.png,vehicles_2,tank
train/vehicles_2/tank/panzer_s_000040.png,vehicles_2,tank
train/vehicles_2/tank/tank_s_000532.png,vehicles_2,tank
train/vehicles_2/tank/army_tank_s_001275.png,vehicles_2,tank
train/vehicles_2/tank/army_tank_s_000471.png,vehicles_2,tank
train/vehicles_2/tank/armoured_combat_vehicle_s_000757.png,vehicles_2,tank
train/vehicles_2/tank/army_tank_s_001337.png,vehicles_2,tank
train/vehicles_2/tank/armored_combat_vehicle_s_000486.png,vehicles_2,tank
train/vehicles_2/tank/armoured_combat_vehicle_s_000214.png,vehicles_2,tank
train/vehicles_2/tank/armored_combat_vehicle_s_000189.png,vehicles_2,tank
train/vehicles_2/tank/tank_s_000355.png,vehicles_2,tank
train/vehicles_2/tank/armored_combat_vehicle_s_000101.png,vehicles_2,tank
train/vehicles_2/tank/panzer_s_000021.png,vehicles_2,tank
train/vehicles_2/tank/armoured_combat_vehicle_s_000309.png,vehicles_2,tank
train/vehicles_2/tank/army_tank_s_000026.png,vehicles_2,tank
train/vehicles_2/tank/armoured_combat_vehicle_s_000795.png,vehicles_2,tank
train/vehicles_2/tank/armoured_combat_vehicle_s_000649.png,vehicles_2,tank
train/vehicles_2/tank/tank_s_000632.png,vehicles_2,tank
train/vehicles_2/tank/armored_combat_vehicle_s_000315.png,vehicles_2,tank
train/vehicles_2/tank/army_tank_s_001635.png,vehicles_2,tank
train/vehicles_2/tank/armoured_combat_vehicle_s_000496.png,vehicles_2,tank
train/vehicles_2/tank/army_tank_s_001088.png,vehicles_2,tank
train/vehicles_2/tank/army_tank_s_001285.png,vehicles_2,tank
train/vehicles_2/tank/armoured_combat_vehicle_s_000352.png,vehicles_2,tank
train/vehicles_2/tank/army_tank_s_000323.png,vehicles_2,tank
train/vehicles_2/tank/armoured_combat_vehicle_s_000042.png,vehicles_2,tank
train/vehicles_2/tank/armoured_combat_vehicle_s_000001.png,vehicles_2,tank
train/vehicles_2/tank/army_tank_s_001533.png,vehicles_2,tank
train/vehicles_2/tank/armoured_combat_vehicle_s_000276.png,vehicles_2,tank
train/vehicles_2/tank/tank_s_000443.png,vehicles_2,tank
train/vehicles_2/tank/army_tank_s_000241.png,vehicles_2,tank
train/vehicles_2/tank/army_tank_s_001648.png,vehicles_2,tank
train/vehicles_2/tank/tank_s_000449.png,vehicles_2,tank
train/vehicles_2/tank/armoured_combat_vehicle_s_000313.png,vehicles_2,tank
train/vehicles_2/tank/tank_s_000026.png,vehicles_2,tank
train/vehicles_2/tank/panzer_s_000048.png,vehicles_2,tank
train/vehicles_2/tank/tank_s_001784.png,vehicles_2,tank
train/vehicles_2/tank/armoured_combat_vehicle_s_000075.png,vehicles_2,tank
train/vehicles_2/tank/army_tank_s_000005.png,vehicles_2,tank
train/vehicles_2/tank/army_tank_s_000073.png,vehicles_2,tank
train/vehicles_2/tank/tank_s_000008.png,vehicles_2,tank
train/vehicles_2/tank/armoured_combat_vehicle_s_000124.png,vehicles_2,tank
train/vehicles_2/tank/army_tank_s_001738.png,vehicles_2,tank
train/vehicles_2/tank/armoured_combat_vehicle_s_000650.png,vehicles_2,tank
train/vehicles_2/tank/tank_s_000642.png,vehicles_2,tank
train/vehicles_2/tank/army_tank_s_000244.png,vehicles_2,tank
train/vehicles_2/tank/tank_s_000039.png,vehicles_2,tank
train/vehicles_2/tank/army_tank_s_000439.png,vehicles_2,tank
train/vehicles_2/tank/army_tank_s_000526.png,vehicles_2,tank
train/vehicles_2/tank/armoured_combat_vehicle_s_000265.png,vehicles_2,tank
train/vehicles_2/tank/army_tank_s_000660.png,vehicles_2,tank
train/vehicles_2/tank/army_tank_s_000294.png,vehicles_2,tank
train/vehicles_2/tank/armoured_combat_vehicle_s_000102.png,vehicles_2,tank
train/vehicles_2/tank/army_tank_s_000128.png,vehicles_2,tank
