index,temperature
0,0.15852827495351984
1,0.15852827495351984
2,0.15824743272838843
3,0.15742075088517435
4,0.15659406888717461
5,0.15576738704396934
6,0.15494070504596957
7,0.15411402320275552
8,0.15328734135955024
9,0.15246065936155048
10,0.15163397751833643
11,0.15080729552034547
12,0.1499806136771314
13,0.14915393167914046
14,0.14832724983592638
15,0.1475005679927123
16,0.14667388599472136
17,0.1458472041515073
18,0.14502052215351632
19,0.14419384031030227
20,0.1433671584670882
21,0.14254047646909723
22,0.14171379462588315
23,0.14088711262789222
24,0.14006043078467814
25,0.13923374878668718
26,0.13840706694347313
27,0.4835631735773663
28,0.7343043810871799
29,1.0964861252680382
30,2.009679411877879
31,2.1954136396629305
32,2.3641222299010254
33,2.6024811555585132
34,2.610220081716217
35,2.480206122266684
36,2.2991152501762544
37,1.988010418636292
38,1.729530284968757
39,1.481884647922025
40,1.361157399861736
41,1.3580618293986544
42,0.8565794143790096
43,0.6739407570570397
44,0.6739407570570397
45,0.5903603545537714
46,0.5222578043659191
47,0.466537536030401
48,0.36980095905901916
49,0.27306438208763734
50,0.246752033151419
51,0.6662018308993274
52,1.0856516286472446
53,1.505101426395153
54,1.898238875206852
55,2.0468262574348914
56,2.0375395460456383
57,2.153623438411296
58,2.0638518949818567
59,1.9740803515524168
60,1.7744160566834815
61,1.52831820486829
62,1.2791247825900083
63,1.0825560581841545
64,0.8240759245166286
65,0.6414372671946585
66,0.5160666634397474
67,0.4835631735773663
68,0.3535492141278242
69,0.3272368651916059
70,0.2219874694467414
71,0.14459820786963593
72,0.09506908046028949
73,0.07804344291333297
74,0.07340008721870207
75,0.3256890799600652
76,0.5145188782082067
77,0.8689616962313441
78,1.1119639775834542
79,1.2682902859692147
80,1.3952086749556665
81,1.4184254534287946
82,1.4803368626904843
83,1.3317494804624361
84,1.16304089022435
85,1.0036190113755084
86,0.6832274684462928
87,0.5284489452920819
88,0.4061739120002608
89,0.2668732411614657
90,0.030062100735527238
91,-0.13013367072908494
92,-0.2903294421936883
93,-0.2431219926316617
94,-0.19591454306962633
95,-0.1819844759857424
96,-0.1587676975126143
